feature,coefficient
priceChange1,251.01183979561216
change12,52.679969083349896
postCovidDummy,19.481270557296945
covidDummy,8.553998443945789
monthCos,5.2176313184841385
priceLag1,2.000214756091792
month,0.6480233477158112
rollMean12,0.5995071568939906
rollStd3,0.41366791411930226
rollStd6,0.39228710946083917
lag12,0.25621947206625567
rollMean3,0.20267154975523424
lag6,0.03884833856220961
priceLag6,-0.005239403241562936
rollMean6,-0.007806951233620088
lag3,-0.29190841208382157
priceLag3,-0.5115687230040892
lag1,-0.7916075010775847
change3,-1.8224407407853969
priceIndex,-2.3297427826232915
quarter,-2.9864963600566092
monthSin,-3.0363430037316124
priceChange12,-15.28835332596472
change1,-66.77901974176466
