group,horizon,model,meanError,meanAbsError,maxAbsError,stdError,nObs
Agriculture,3-month,SARIMA,3.0129069548118443,7.619457033921138,22.7521603493298,9.143339535383339,23
Clothing and Footwear,3-month,SARIMA,12.109564029113447,12.819555213302952,30.85866094822633,9.658493385840874,23
Furniture and Fixtures,3-month,SARIMA,-6.499119521126728,6.499119521126728,16.604146886220803,4.295250771130139,23
Agriculture,12-month,SARIMA,3.5523910234800553,9.515062819698217,22.7521603493298,11.43808907034559,12
Clothing and Footwear,12-month,SARIMA,5.7396578103305425,7.100474246693758,13.403939675753975,5.853179267237737,12
Furniture and Fixtures,12-month,SARIMA,-5.968688866563977,5.968688866563977,11.75491935491928,3.148349954514173,12
