feature,coefficient
change3,16.218075033219684
change1,12.998895598061761
postCovidDummy,10.89600857938006
covidDummy,1.2357828299930658
rollStd6,0.58059106541705
change12,0.5219629724034357
priceIndex,0.460340415271982
monthCos,0.37975237231201586
rollStd3,0.3738464988308211
rollMean3,0.3694469187671717
rollMean6,0.28238774313511894
month,0.22000944021060584
lag3,0.17467302999712475
lag12,0.127708851668039
quarter,0.08418665322241076
lag1,-0.019363703592775637
priceLag3,-0.060396200717613285
lag6,-0.2638650464724833
rollMean12,-0.26923925804594767
priceLag6,-0.3878319084337617
priceLag1,-0.6694731879381572
monthSin,-1.264910141187757
priceChange12,-9.118362537058022
priceChange1,-42.79687679351672
