feature,importance,model,horizon
rollMean3,0.12696309301499303,RF_WithPrice,3-month
rollMean6,0.10910492932693812,RF_WithPrice,3-month
lag1,0.09659702376564608,RF_WithPrice,3-month
lag3,0.06909333725548908,RF_WithPrice,3-month
rollStd6,0.06739621966917568,RF_WithPrice,3-month
rollMean12,0.06312622365828832,RF_WithPrice,3-month
change12,0.062187269537967944,RF_WithPrice,3-month
lag6,0.03700628707746796,RF_WithPrice,3-month
rollStd3,0.03538175824924634,RF_WithPrice,3-month
priceIndex,0.03236689316034201,RF_WithPrice,3-month
priceLag1,0.03187258776571377,RF_WithPrice,3-month
priceChange12,0.03131093069984518,RF_WithPrice,3-month
lag12,0.029606255362566274,RF_WithPrice,3-month
change1,0.026807522317871178,RF_WithPrice,3-month
priceChange1,0.026387675018937438,RF_WithPrice,3-month
priceLag6,0.02447203244211417,RF_WithPrice,3-month
priceLag3,0.024354716515231287,RF_WithPrice,3-month
month,0.022470342109795427,RF_WithPrice,3-month
change3,0.022154511734235955,RF_WithPrice,3-month
postCovidDummy,0.017419895340237367,RF_WithPrice,3-month
monthSin,0.017298941455831027,RF_WithPrice,3-month
quarter,0.012668979349354128,RF_WithPrice,3-month
monthCos,0.010347409475370592,RF_WithPrice,3-month
covidDummy,0.003605165697341705,RF_WithPrice,3-month
