,mae,mae,mae,mae,mae,mae,mae,rmse,rmse,rmse,rmse,rmse,rmse,rmse
model,LinearRegression,LinearRegression,Naive,RandomForest,RandomForest,SARIMA,SeasonalNaive,LinearRegression,LinearRegression,Naive,RandomForest,RandomForest,SARIMA,SeasonalNaive
priceVersion,No Price,With Price,Not Applicable,No Price,With Price,Not Applicable,Not Applicable,No Price,With Price,Not Applicable,No Price,With Price,Not Applicable,Not Applicable
group,,,,,,,,,,,,,,
Agriculture,11.294539006228337,14.77506625203509,8.80909090909091,8.55752207451714,8.923788939276617,9.515062819698217,8.80909090909091,13.062711970048968,15.774257360063393,11.25962214770509,10.287783145581532,10.496873540265419,11.512900305009927,11.25962214770509
Clothing and Footwear,33.23762735622315,23.101696413374796,16.872727272727268,30.663313543410734,30.41878349540784,7.100474246693758,16.872727272727268,34.650233035692644,25.35548644728399,18.99363529759855,31.399356709879427,31.224101053408994,8.021745675739266,18.99363529759855
Furniture and Fixtures,9.289213331640106,6.497586503576067,5.154545454545456,13.4988315592706,7.62647314349364,5.968688866563977,5.154545454545456,10.995388688227877,8.306359420664966,6.2505999712027664,14.24462029616638,8.69979992128589,6.686654265694221,6.2505999712027664
