,mae,mae,mae,mae,mae,mae,mae,rmse,rmse,rmse,rmse,rmse,rmse,rmse
model,LinearRegression,LinearRegression,Naive,RandomForest,RandomForest,SARIMA,SeasonalNaive,LinearRegression,LinearRegression,Naive,RandomForest,RandomForest,SARIMA,SeasonalNaive
priceVersion,No Price,With Price,Not Applicable,No Price,With Price,Not Applicable,Not Applicable,No Price,With Price,Not Applicable,No Price,With Price,Not Applicable,Not Applicable
group,,,,,,,,,,,,,,
Agriculture,10.203788077288205,11.078662589073463,9.014999999999997,13.339056946372347,14.045455213572836,7.619457033921138,10.789999999999997,12.904271681479907,13.759385444861467,10.808954621053786,15.32139722894697,16.264805477449837,9.436283959609497,14.26877710247098
Clothing and Footwear,14.769472912892638,10.433761972235995,7.579999999999998,24.83376193448997,24.111527877263345,12.819555213302952,20.105,16.780325781374362,12.889714573733034,10.155195714509887,26.81680168815766,26.173522127962467,15.358128170995746,22.933632507738498
Furniture and Fixtures,4.754636478735312,3.8368669411689966,4.845000000000001,3.739560944366693,3.4685613431971776,6.499119521126728,4.875000000000001,5.899065801278599,4.4803619191608535,5.676134247883853,4.949451565702423,4.7993681974498665,7.73857839084592,5.862806495186414
