group,horizon,model,priceVersion,meanError,medianError,stdError,meanAbsError,medianAbsError,maxAbsError,minError,maxError,nObs
Agriculture,12-month,RandomForest,No Price,8.55752207451714,7.35503362008366,5.988992218573142,8.55752207451714,7.35503362008366,19.112476946201852,1.62544246031743,19.112476946201852,11
Agriculture,3-month,SARIMA,Not Applicable,3.0129069548118443,1.204272499508832,9.143339535383337,7.6194570339211385,6.581112286401918,22.7521603493298,-12.440461015233183,22.7521603493298,23
Clothing and Footwear,12-month,SARIMA,Not Applicable,5.7396578103305425,4.815296535197497,5.853179267237738,7.100474246693758,5.819149600840099,13.403939675753975,-6.526159032248401,13.403939675753975,12
Clothing and Footwear,3-month,Naive,Not Applicable,3.330000000000002,2.5,9.842929602404698,7.579999999999998,5.450000000000003,28.900000000000006,-16.900000000000006,28.900000000000006,20
Furniture and Fixtures,12-month,Naive,Not Applicable,-0.6090909090909107,1.5999999999999943,6.5244853506548015,5.154545454545456,4.700000000000003,11.100000000000009,-11.100000000000009,8.799999999999997,11
Furniture and Fixtures,3-month,LinearRegression,With Price,1.1640111314022747,1.7687695826749064,4.43890942185226,3.8368669411689966,3.3056506780504478,8.819795256070663,-6.282423526835743,8.819795256070663,20
