group,meanVolume,stdVolume,coefOfVariation
Agriculture,115.0,13.513096372960037,0.11750518585182641
Clothing and Footwear,111.72242990654205,20.99055631509585,0.1878813084593206
Furniture and Fixtures,97.4196261682243,10.147529109529215,0.10416308816466255
