group,horizon,rmseNoPrice,rmseWithPrice,rmseImprovement,maeNoPrice,maeWithPrice,maeImprovement,priceHelpedRmse
Agriculture,12-month,10.287783145581532,10.496873540265419,-0.20909039468388713,8.55752207451714,8.923788939276617,-0.3662668647594778,No
Agriculture,3-month,15.32139722894697,16.264805477449837,-0.9434082485028661,13.339056946372347,14.045455213572836,-0.7063982672004894,No
Clothing and Footwear,12-month,31.399356709879427,31.224101053408994,0.1752556564704335,30.663313543410734,30.41878349540784,0.24453004800289335,Yes
Clothing and Footwear,3-month,26.816801688157653,26.173522127962467,0.643279560195186,24.83376193448997,24.111527877263345,0.7222340572266255,Yes
Furniture and Fixtures,12-month,14.24462029616638,8.69979992128589,5.544820374880489,13.4988315592706,7.62647314349364,5.872358415776961,Yes
Furniture and Fixtures,3-month,4.949451565702425,4.79936819744987,0.15008336825255508,3.739560944366695,3.4685613431971776,0.2709996011695175,Yes
