feature,importance,model,horizon
rollMean3,0.16526708902599363,RF_NoPrice,3-month
rollMean6,0.12076631701351512,RF_NoPrice,3-month
lag1,0.10316782063967449,RF_NoPrice,3-month
rollMean12,0.08875914962355602,RF_NoPrice,3-month
rollStd6,0.0808142800516363,RF_NoPrice,3-month
lag3,0.07407521975487051,RF_NoPrice,3-month
change12,0.061063153996271206,RF_NoPrice,3-month
rollStd3,0.047436804971997815,RF_NoPrice,3-month
lag6,0.04700333102048667,RF_NoPrice,3-month
lag12,0.03948083507369825,RF_NoPrice,3-month
change1,0.036016039478104375,RF_NoPrice,3-month
change3,0.03175252541294632,RF_NoPrice,3-month
month,0.02912572508948409,RF_NoPrice,3-month
monthSin,0.021448175378820128,RF_NoPrice,3-month
postCovidDummy,0.018427020849741075,RF_NoPrice,3-month
monthCos,0.014441832786392939,RF_NoPrice,3-month
quarter,0.014151117190520349,RF_NoPrice,3-month
covidDummy,0.0068035626422905966,RF_NoPrice,3-month
