group,horizon,model,rmse,mae,r2,nObs
Agriculture,3-month,SARIMA,9.436283959609497,7.619457033921138,-0.36576210256256925,23
Clothing and Footwear,3-month,SARIMA,15.358128170995746,12.819555213302952,-1.3566672783255398,23
Furniture and Fixtures,3-month,SARIMA,7.73857839084592,6.499119521126728,-2.6948567432779384,23
Agriculture,12-month,SARIMA,11.512900305009927,9.515062819698217,-0.7124504210408025,12
Clothing and Footwear,12-month,SARIMA,8.021745675739266,7.100474246693758,-1.6083959562494523,12
Furniture and Fixtures,12-month,SARIMA,6.686654265694221,5.968688866563977,-4.708894136962953,12
