horizon,group,model,priceVersion,rmse,mae,r2,nObs_x,meanError,medianError,stdError,meanAbsError,medianAbsError,maxAbsError,minError,maxError,nObs_y,biasDirection,startDate,endDate,observations,volumeMean,volumeStd,volumeMin,volumeMedian,volumeMax,priceMean,priceStd,priceMin,priceMedian,priceMax,meanVolume,stdVolume,coefOfVariation
12-month,Agriculture,RandomForest,No Price,10.287783145581525,8.557522074517136,-1.4222080777953638,11,8.557522074517136,7.35503362008366,5.9889922185731335,8.557522074517136,7.35503362008366,19.112476946201852,1.6254424603174584,19.112476946201852,11,Underprediction on average,2017-01-01,2025-11-01,107,115.0,13.513096372960037,77.7,114.3,145.9,100.22523364485981,10.160468098133917,81.6,98.4,136.0,115.0,13.513096372960037,0.11750518585182641
12-month,Clothing and Footwear,SARIMA,Not Applicable,8.021745675739266,7.100474246693758,-1.6083959562494523,12,5.7396578103305425,4.815296535197497,5.853179267237738,7.100474246693758,5.819149600840099,13.403939675753975,-6.526159032248401,13.403939675753975,12,Underprediction on average,2017-01-01,2025-11-01,107,111.72242990654205,20.99055631509585,57.3,107.1,165.5,101.0,7.842506337923953,82.7,102.0,120.3,111.72242990654205,20.99055631509585,0.1878813084593206
12-month,Furniture and Fixtures,Naive,Not Applicable,6.2505999712027664,5.154545454545456,-4.708894136962953,11,-0.6090909090909107,1.5999999999999943,6.5244853506548015,5.154545454545456,4.700000000000003,11.100000000000009,-11.100000000000009,8.799999999999997,11,Overprediction on average,2017-01-01,2025-11-01,107,97.4196261682243,10.147529109529215,62.2,97.1,124.9,112.56448598130841,10.705396737569538,97.2,108.1,132.1,97.4196261682243,10.147529109529215,0.10416308816466255
3-month,Agriculture,SARIMA,Not Applicable,9.436283959609497,7.619457033921138,-0.36576210256256925,23,3.0129069548118443,1.204272499508832,9.143339535383337,7.6194570339211385,6.581112286401918,22.7521603493298,-12.440461015233183,22.7521603493298,23,Underprediction on average,2017-01-01,2025-11-01,107,115.0,13.513096372960037,77.7,114.3,145.9,100.22523364485981,10.160468098133917,81.6,98.4,136.0,115.0,13.513096372960037,0.11750518585182641
3-month,Clothing and Footwear,Naive,Not Applicable,10.155195714509887,7.579999999999998,-0.937685850448905,20,3.330000000000002,2.5,9.842929602404698,7.579999999999998,5.450000000000003,28.900000000000006,-16.900000000000006,28.900000000000006,20,Underprediction on average,2017-01-01,2025-11-01,107,111.72242990654205,20.99055631509585,57.3,107.1,165.5,101.0,7.842506337923953,82.7,102.0,120.3,111.72242990654205,20.99055631509585,0.1878813084593206
3-month,Furniture and Fixtures,LinearRegression,With Price,4.4803619191608535,3.8368669411689966,-0.211744784567498,20,1.1640111314022747,1.7687695826749064,4.43890942185226,3.8368669411689966,3.3056506780504478,8.819795256070663,-6.282423526835743,8.819795256070663,20,Underprediction on average,2017-01-01,2025-11-01,107,97.4196261682243,10.147529109529215,62.2,97.1,124.9,112.56448598130841,10.705396737569538,97.2,108.1,132.1,97.4196261682243,10.147529109529215,0.10416308816466255
