feature,coefficient
change3,25.980217389728914
change1,9.694077951792064
postCovidDummy,2.386414365329843
covidDummy,2.051207751236573
rollStd3,0.4164472828905926
rollStd6,0.36063230593203394
lag3,0.34945402663991687
rollMean3,0.3256352240340215
rollMean6,0.24352999823573757
monthCos,0.22641574825229913
month,0.1806391888988673
lag12,0.13356294286508108
lag1,0.09342104449669146
quarter,-0.08372466345267073
lag6,-0.12090932998891912
rollMean12,-0.3447970286792033
monthSin,-1.4042271318853492
change12,-1.6180431208899895
